productdisplayname,success_order_percentage
Numero Uno Men Brown Shoes,17.24137931034483
Tonga Off-White & Black Animal Print Dress,27.06422018348624
Flying Machine Men Casual Blue Casual Shoes,10.42654028436019
Converse Unisex Printed Black & Green Shoes,19.902912621359224
Clarks Men Energise Me Leather Black Formal Shoes,22.926829268292686
Baggit Women Red Purse,11.330049261083744
Nike Men's Zoom For 3 White Blue Shoe,15.07537688442211
Lotto Men White Sports Shoes,28.426395939086298
Nike Men's Air Court MO White Shoe,20.408163265306122
ADIDAS Women Plated Handbag,17.346938775510203
FILA Men Dirk White Sports Shoes,18.461538461538463
Red Tape Men's Black Formal Leather Shoe,23.076923076923077
Red Tape Men Brown Leather Shoe,28.350515463917525
Kipsta F300 Sala Shoes,17.525773195876287
Catwalk Women Bronze Peep Toes,24.479166666666664
Clarks Men Brown Casual Shoes,30.729166666666668
Puma Women Body Train Grey Sports Shoes,45.0261780104712
ADIDAS Men's Vanquish White Uni Blue Shoe,24.210526315789473
Nike Men Nike air dictate MSL Black Sports Shoes,35.78947368421053
ADIDAS Men Grey Portland Sports Shoes,19.473684210526315
Puma Unisex Grey Backpack,30.0
Avirate Women Purple Dress,26.842105263157894
Carlton London Women Black Heels,16.48936170212766
ADIDAS Men's Slimsollm Red Shoe,25.53191489361702
Puma Men's Kraftek Black Metalic Silver Shoe,19.148936170212767
Lotto Men's Jumper White Black Shoe,25.668449197860966
ANT Kids Girls Printed White Dress,40.106951871657756
Catwalk Women Silver Flats,15.508021390374333
Catwalk Women Bronze Brown Wedges,25.268817204301076
Wildcraft Unisex Brown & Black Backpack,35.483870967741936
Murcia Women Green Handbag,23.655913978494624
Kiara Women Brown Handbag,34.5945945945946
Murcia Women Casual Olive Handbag,22.162162162162165
American Tourister Unisex Blue Backpack,24.864864864864867
Nike Men's Flyclave Red White Shoe,20.0
Pieces Women Navy Blue Purse,27.027027027027028
Carlton London  Women Casual Red Sandals,17.83783783783784
Fastrack Women Leatherette Purple HandBag,31.351351351351354
Murcia Women Lorra Coffee Brown Handbags,22.282608695652172
ADIDAS Women White Adi Taurus Sports Shoes,16.304347826086957
Quiksilver Unisex Navy Blue Backpack,19.565217391304348
Nike Unisex Team Training Red Backpack,15.217391304347828
HM Women Yellow Sandals,25.683060109289617
Skechers Women Tone White Sports Shoes,19.12568306010929
ADIDAS Men Eqt Nitro Fashion Black Sports Shoes,24.59016393442623
Vans Men Zapto Del Barco Navy Blue Casual Shoes,18.0327868852459
HM Women Pink Sandals,20.76502732240437
Carlton London Women Beige Heels,25.136612021857925
ADIDAS Men Twenty2yds Mid IV White Sports Shoes,28.96174863387978
Vans Men Era Grey Shoes,21.311475409836063
Nike Men Air Courtballistec 4.1 White Sports Shoes,18.0327868852459
Nike Men's Sweet Classic White Shoe,27.86885245901639
Kiara Women Graphiti White Handbag,18.0327868852459
Murcia Women Casual Blue Handbag,22.950819672131146
Bata Men Remo Black Formal Shoes,18.13186813186813
Lino Perros Women Solid Red Handbag,13.736263736263737
Franco Leone Men Black Formal Shoe,18.13186813186813
Murcia Women Hddcs Brown Handbags,20.32967032967033
Spice Art Women Shimmer Silver Clutch,22.52747252747253
Fortune Men Black Casual Shoes,25.274725274725274
Nike Women Court Shuttle IV White Sports Shoes,18.13186813186813
Vans Men Black Half Cab Shoes,14.3646408839779
ADIDAS Men's Galaxy Pillars Black Sun Shoe,26.519337016574585
Converse Unisex Four Stitch Hi Navy Shoe,23.204419889502763
Clarks Men Black Leather Formal Shoes,22.65193370165746
Vans Men Brown Shoes,25.96685082872928
F Sports Men Navy Blue Vito Shoes,22.65193370165746
Vans Men Desurgent Black Shoes,21.54696132596685
Lino Perros Women Casual Olive Handbags,36.46408839779006
Envirosax Women Black & Grey Bag,12.777777777777777
Ganuchi Men Brown Casual Shoe,24.444444444444443
Force 10 Men Black & Grey Sports Shoes,18.88888888888889
Mineral Blue & Green Printed Dress,20.0
Catwalk Women Brown Heels,25.555555555555554
Stoln Women Orange Handbag,18.333333333333332
Pitaraa Women Yellow Sling Bag,22.77777777777778
Fila Men Phoenix Red Shoes,15.555555555555555
Senorita Women Beige Flats,27.932960893854748
Provogue Men Brown Formal Shoes,25.69832402234637
Arrow Men Black Shoes,16.201117318435752
Catwalk Women Blue Flats,20.670391061452513
Envirosax Women Multi Coloured Bag,25.69832402234637
Kiara Women Grey Handbag,25.139664804469277
Grendha Women Flori Grey Sandals,17.318435754189945
Nike Men's Tennis Classic White Black Shoe,31.843575418994412
Puma Women Soleil White Sneakers,31.843575418994412
Fila Unisex Skeletoes 2.0 Black Shoes,29.05027932960894
Avirate Pink Dress,21.910112359550563
Rockport Men's Aphrael Black Shoe,21.910112359550563
Red Tape Men Black Shoes,21.34831460674157
Enroute Women Casual Pink Flats,30.337078651685395
HM Women Green Flats,24.719101123595504
HM Women Brown Flats,17.415730337078653
Kiara Women Grey Handbag,19.101123595505616
Reebok Men Black Ultimate Vibe Sports Shoes,20.903954802259886
Nike Women White Dart 9 MSL Sports Shoes,14.689265536723164
Hidekraft Women Blue Handbag,17.51412429378531
Murcia Women Casual Maroon Handbag,23.163841807909606
Catwalk Women Black Heels,28.8135593220339
Peter England Unisex Black Duffle Bag,16.38418079096045
Spinn Men Temptation Grey Sport Shoes,25.98870056497175
Catwalk Women Brown Flats,14.689265536723164
Baggit Women Green Bag,8.47457627118644
Red Tape Men Brown Leather Shoes,15.819209039548024
Clarks Men Feeling Good Leather Brown Formal Shoes,35.59322033898305
Portia Women White Sandals,18.64406779661017
Numero Uno Men Casual Black Casual Shoes,27.84090909090909
Tonga Women Printed Blue Dress,30.113636363636363
Nike Women Free 4.0 V2 Grey Sports Shoes,22.727272727272727
ADIDAS Unisex Bio Str Black Casual Shoes,31.818181818181817
Murcia Women Orange Handbag,17.613636363636363
Nike Unisex Classic Turf Pink Backpack,13.068181818181818
Nike Men Avid Grey Shoes,15.340909090909092
Clarks Women Country Music Combi Leather Black Pumps,20.454545454545457
Lee Cooper Men White Shoes,20.454545454545457
Puma Men's Basket Bump Sneaker,20.454545454545457
Red Tape Brown Casual Men's Shoe,17.045454545454543
Nike Men's Air Force White Orange Shoe,22.15909090909091
ADIDAS Men Monetro White Sports Shoes,13.714285714285715
Puma Men's Osu NM Black Green Shoe,21.142857142857142
ADIDAS Men Agora Lea Black Sports Shoes,28.000000000000004
United Colors of Benetton Women Black Bag,21.142857142857142
Catwalk Women Bronze Flats,17.71428571428571
ID Men Blue Shoes,27.42857142857143
Cobblerz Women Black &Pink Sandals,20.0
Enroute Men Leather Brown Formal Shoes,28.57142857142857
Spinn Men Orbit Black Sports Shoes,22.285714285714285
Murcia Women Blue Handbag,24.0
Murcia Women Claudia Red Handbags,27.42857142857143
United Colors of Benetton Men Casual Black Laptop Bag,22.857142857142858
Skechers Men's Off White Lifestyle Shoe,32.0
Spinn Men Techno White Sports Shoes,27.42857142857143
Murcia Women Casual Brown Handbag,29.142857142857142
Nike Men Air Visi Pro White Sports Shoes,29.310344827586203
La Emotio Women Grey Dress,29.310344827586203
Puma Men's Vibrant Navy White Silver Shoe,10.919540229885058
Puma Men Grey Vintage Ferrari Shoes,23.563218390804597
United Colors of Benetton Women Solid Black Handbags,21.839080459770116
Wildcraft Unisex Black Printed Laptop Backpack,16.666666666666664
Fila Men's Caliber White Grey Shoe,21.839080459770116
Flying Machine Men Casual Navy Blue Casual Shoes,24.137931034482758
Enroute Boys Grey Casual Shoes,23.563218390804597
Reebok Men Empire Run White Shoe,21.839080459770116
Rocia Women Black & Brown Sandals,17.81609195402299
U.S. Polo Assn. Unisex Laptop Grey Backpack,16.091954022988507
Reebok Men's Blaze White Black Shoe,15.606936416184972
FILA Men Dls Maxim Black Sports Shoes,16.184971098265898
Puma Men Benecio Canvas Black Casual Shoes,32.947976878612714
Redtape Men Calcullas Tan Casual Shoes,13.294797687861271
Skechers Women Blue Teal Shoe,8.670520231213873
ADIDAS Men's Lowell White Silver Shoe,23.121387283236995
Inc.5 Women Metallic Heels,21.38728323699422
Lino Perros Women Beads Silver Clutch,18.497109826589593
Red Tape Men Brown Formal Shoes,30.057803468208093
Red Tape Men Black Shoes,30.63583815028902
Baggit Women Black Gang Handbag,23.699421965317917
Nike Men Air Max White Red Shoe,22.54335260115607
ADIDAS Unisex Black Backpack,17.91907514450867
Kiara Women Green Handbag,27.167630057803464
Red Tape Men Brown Shoes,7.514450867052023
ADIDAS Men Predito Trx HG Blue Sports Shoes,35.83815028901734
Pieces Women Black Handbag,35.26011560693642
Hush Puppies Men Jungle Black Formal Shoes,25.43352601156069
Arrow Woman Aqua Green Dress,31.213872832369944
Nike Men Lunarglide+ 3 Black Sports Shoes,26.589595375722542
ADIDAS Men Blue Talus Runner Sports Shoes,33.52601156069364
Catwalk Women Lifestyle White Casual Shoes,32.947976878612714
ADIDAS Men Pred TD Black Silver Backpack,18.497109826589593
Femella Women Black Dress,12.716763005780345
Red Tape Men Black Shoes,27.325581395348834
Vans Men Maroon & Grey Era Shoes,13.372093023255813
Catwalk Women Black Catwalk Flats,22.093023255813954
ADIDAS Unisex Chicago Bulls Red Backpack,15.69767441860465
Lee Cooper Men  Brown Casual Shoe,23.25581395348837
United Colors of Benetton Women White Handbag,18.6046511627907
Puma Men Evo Navy Blue Casual Shoes,14.534883720930234
Portia Women Black Sandals,23.25581395348837
Nike Men's Air Rally White Shoe,23.25581395348837
Timberland Women Femmes Brown Casual Shoes,22.674418604651162
Lino Perros Women Leatherette Maroon Handbag,18.6046511627907
Catwalk Women Orange Flats,27.325581395348834
United Colors of Benetton Women Solid Black Handbags,29.651162790697676
Gini and Jony Girl's Salome Blue Kidswear,23.25581395348837
